Business Type,Business Type ID,Required Documents
Beverage Manufacturing,BT_BEVERAGE_MANUFACTURING,"Certificate of Incorporation, Environmental Permit, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Chemical Manufacturing,BT_CHEMICAL_MANUFACTURING,"Certificate of Incorporation, Environmental Permit, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Trucking Company,BT_TRUCKING_COMPANY,"Certificate of Incorporation, Commercial Vehicle Registration, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Courier Service,BT_COURIER_SERVICE,"Certificate of Incorporation, Commercial Vehicle Registration, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Moving Company,BT_MOVING_COMPANY,"Certificate of Incorporation, Commercial Vehicle Registration, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Taxi Service,BT_TAXI_SERVICE,"Certificate of Incorporation, Commercial Vehicle Registration, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Logistics Company,BT_LOGISTICS_COMPANY,"Certificate of Incorporation, Commercial Vehicle Registration, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Warehouse Operator,BT_WAREHOUSE_OPERATOR,"Certificate of Incorporation, Commercial Vehicle Registration, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Freight Forwarding Company,BT_FREIGHT_FORWARDING_COMPANY,"Certificate of Incorporation, Commercial Vehicle Registration, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Private School,BT_PRIVATE_SCHOOL,"Background Check Documentation (Certificado de Antecedentes Penales), Certificate of Incorporation, Childcare / Education License, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Daycare,BT_DAYCARE,"Background Check Documentation (Certificado de Antecedentes Penales), Certificate of Incorporation, Childcare / Education License, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Tutoring Center,BT_TUTORING_CENTER,"Background Check Documentation (Certificado de Antecedentes Penales), Certificate of Incorporation, Childcare / Education License, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Vocational School,BT_VOCATIONAL_SCHOOL,"Background Check Documentation (Certificado de Antecedentes Penales), Certificate of Incorporation, Childcare / Education License, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Training Company,BT_TRAINING_COMPANY,"Background Check Documentation (Certificado de Antecedentes Penales), Certificate of Incorporation, Childcare / Education License, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
After-School Program,BT_AFTER_SCHOOL_PROGRAM,"Background Check Documentation (Certificado de Antecedentes Penales), Certificate of Incorporation, Childcare / Education License, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Real Estate Brokerage,BT_REAL_ESTATE_BROKERAGE,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Property Management Company,BT_PROPERTY_MANAGEMENT_COMPANY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Real Estate Developer,BT_REAL_ESTATE_DEVELOPER,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Appraisal Firm,BT_APPRAISAL_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Real Estate Investment Firm,BT_REAL_ESTATE_INVESTMENT_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Auto Repair Shop,BT_AUTO_REPAIR_SHOP,"Certificate of Incorporation, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Body Shop,BT_BODY_SHOP,"Certificate of Incorporation, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Car Dealership,BT_CAR_DEALERSHIP,"Certificate of Incorporation, Commercial Vehicle Registration, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Auto Parts Store,BT_AUTO_PARTS_STORE,"Certificate of Incorporation, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Car Wash,BT_CAR_WASH,"Certificate of Incorporation, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Tire Shop,BT_TIRE_SHOP,"Certificate of Incorporation, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Motorcycle Repair Shop,BT_MOTORCYCLE_REPAIR_SHOP,"Certificate of Incorporation, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Farm,BT_FARM,"Bona Fide Farmer Registration, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Pesticide Applicator License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Livestock Operation,BT_LIVESTOCK_OPERATION,"Bona Fide Farmer Registration, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Pesticide Applicator License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Aquaculture Operation,BT_AQUACULTURE_OPERATION,"Bona Fide Farmer Registration, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Pesticide Applicator License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Plant Nursery,BT_PLANT_NURSERY,"Bona Fide Farmer Registration, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Pesticide Applicator License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Agricultural Services Company,BT_AGRICULTURAL_SERVICES_COMPANY,"Bona Fide Farmer Registration, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Pesticide Applicator License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Coffee Plantation,BT_COFFEE_PLANTATION,"Bona Fide Farmer Registration, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Pesticide Applicator License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Insurance Agency,BT_INSURANCE_AGENCY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Mortgage Broker,BT_MORTGAGE_BROKER,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Financial Advisory Firm,BT_FINANCIAL_ADVISORY_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Accounting Firm,BT_ACCOUNTING_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Investment Firm,BT_INVESTMENT_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Credit Services Company,BT_CREDIT_SERVICES_COMPANY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Solar Installer,BT_SOLAR_INSTALLER,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Energy Consulting Firm,BT_ENERGY_CONSULTING_FIRM,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Utility Contractor,BT_UTILITY_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Battery Storage Installer,BT_BATTERY_STORAGE_INSTALLER,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Renewable Energy Company,BT_RENEWABLE_ENERGY_COMPANY,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Wholesale Food Distributor,BT_WHOLESALE_FOOD_DISTRIBUTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Health / Sanitary Permit, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Wholesale Goods Distributor,BT_WHOLESALE_GOODS_DISTRIBUTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Health / Sanitary Permit, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Beverage Distributor,BT_BEVERAGE_DISTRIBUTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Health / Sanitary Permit, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Import / Export Business,BT_IMPORT_EXPORT_BUSINESS,"Certificate of Incorporation, Commercial Vehicle Registration, Health / Sanitary Permit, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Warehouse Distributor,BT_WAREHOUSE_DISTRIBUTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Health / Sanitary Permit, IRS EIN Confirmation Letter, Import / Export Registration, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Gym / Fitness Studio,BT_GYM_FITNESS_STUDIO,"Alcohol Beverage License, Certificate of Incorporation, Entertainment Permit, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Dance Studio,BT_DANCE_STUDIO,"Alcohol Beverage License, Certificate of Incorporation, Entertainment Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Music Venue,BT_MUSIC_VENUE,"Alcohol Beverage License, Certificate of Incorporation, Entertainment Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Event Venue,BT_EVENT_VENUE,"Alcohol Beverage License, Certificate of Incorporation, Entertainment Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Theater,BT_THEATER,"Alcohol Beverage License, Certificate of Incorporation, Entertainment Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Art Gallery,BT_ART_GALLERY,"Alcohol Beverage License, Certificate of Incorporation, Entertainment Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Sports Facility,BT_SPORTS_FACILITY,"Alcohol Beverage License, Certificate of Incorporation, Entertainment Permit, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Outdoor Seating Authorization, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Construction Government Contractor,BT_CONSTRUCTION_GOVERNMENT_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, General Liability Insurance Certificate, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
IT Government Contractor,BT_IT_GOVERNMENT_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, General Liability Insurance Certificate, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Professional Services Government Contractor,BT_PROFESSIONAL_SERVICES_GOVERNMENT_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, General Liability Insurance Certificate, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Facilities Government Contractor,BT_FACILITIES_GOVERNMENT_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, General Liability Insurance Certificate, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Security Contractor,BT_SECURITY_CONTRACTOR,"Background Check Documentation (Certificado de Antecedentes Penales), Certificate of Incorporation, Commercial Vehicle Registration, General Liability Insurance Certificate, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Nonprofit Organization,BT_NONPROFIT_ORGANIZATION,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Nonprofit Registration / 501(c)(3) Determination, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Religious Organization,BT_RELIGIOUS_ORGANIZATION,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Nonprofit Registration / 501(c)(3) Determination, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Community Organization,BT_COMMUNITY_ORGANIZATION,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Nonprofit Registration / 501(c)(3) Determination, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Foundation,BT_FOUNDATION,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Nonprofit Registration / 501(c)(3) Determination, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Charity,BT_CHARITY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Nonprofit Registration / 501(c)(3) Determination, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
